Reference,Value,Qty,#,MPN,Manufacturer
"C1,C3,C7",10nF,3,1,GRM1885C1H103JA01D,-- mixed values --
"C2,C5,C8",4.7uF,3,2,GRM188C81E475KE11D,Murata Electronics
"C4,C6,C19,C23,C32,C33,C34,C35",100nF,8,3,GCM188R71H104JA57D,Murata Electronics
C9,100u,1,4,GRM31CR60J107KEA8L,Murata Electronics
"C10,C17",2.2u,2,5,GRM188R61E225KA12D,Murata Electronics
C11,2.2n,1,6,GRM1885C1H222FA01D,Murata Electronics
C12,47u,1,7,GRM31CR61A476KE15L,Murata Electronics
"C13,C24",100n,2,8,GCM188R71H104JA57D,Murata Electronics
C14,220n,1,9,GRM188R71A224JA01D,Murata Electronics
"C15,C16",10n,2,10,GRM1885C1H103JA01D,Murata Electronics
"C20,C21",12pF,2,11,GRM1885C1H120JA01D,Murata Electronics
"C22,C27",10uF,2,12,GRM188R61E106KA73D,Murata Electronics
"C25,C26",47pF,2,13,GRM1885C1H470JA01D,Murata Electronics
"D1,D4,D5",B5819W,3,14,B5819W,Good-Ark
D2,NUP2202,1,15,NUP2202W1T2G,Onsemi
D3,PWR-RED,1,16,LTST-C191KRKT,Lite-On Inc
D6,CH_ORANGE,1,17,LTST-C191KFKT,Lite-On Inc
D11,TX-GREEN,1,18,LTST-C191KGKT,Lite-On Inc
D12,RX-GREEN,1,19,LTST-C191KGKT,Lite-On Inc
F1,750mA,1,20,SMD0805B075TF,Yageo
J1,USB_OTG,1,21,10103594-0001LF,Amphenol ICC (FCI)
J2,CONN_BATT,1,22,DNM,
J3,CONN_SP,1,23,DNM,
J4,Conn_01x02,1,24,S2B-PH-SM4-TB,JST Sales America Inc
J5,Conn_Coaxial,1,25,U.FL-R-SMT-1(01),Hirose Electric Co Ltd
J6,Conn_ARM_JTAG_SWD_10,1,26,20021121-00010C4LF,Amphenol ICC (FCI)
L1,BLM18HE152,1,27,BLM18HE152SN1D,Murata Electronics
Q1,SI2323DS,1,28,SI2323DS-T1-GE3,Vishay Siliconix
R1,100K,1,29,RC0603FR-07100KL,Yageo
"R2,R4",1M,2,30,RC0603FR-071ML,Yageo
"R3,R7,R29",1K5,3,31,RC0603FR-072K49L,Yageo
R5,3M6,1,32,RC0603FR-073M6L,Yageo
R6,5K1,1,33,RC0603FR-075K1L,Yageo
"R11,R13,R16",220k,3,34,RC0603FR-07220KL,Yageo
R12,7.5k,1,35,RC0603FR-077K5L,Yageo
"R14,R31,R34,R35,R36,R37",10k,6,36,RC0603FR-0710KL,Yageo
R15,470k,1,37,RC0603FR-07470KL,Yageo
R17,2.2M,1,38,RC0603FR-072M2L,Yageo
R18,6.8k,1,39,RC0603FR-076K8L,Yageo
"R19,R20",68k,2,40,RC0603FR-076K8L,Yageo
R21,100k,1,41,RC0603FR-07100KL,Yageo
"R22,R23",4.7k,2,42,RC0603FR-074K7L,Yageo
R28,1k5,1,43,RC0603FR-071K5L,Yageo
"R32,R33",2.49k,2,44,RC0603FR-072K49L,Yageo
"R40,R41",27,2,45,RC0603FR-0727RL,Yageo
SW1,RESET,1,46,434133025816,Wurth Elektronik
"TP1,TP2,TP3,TP4,TP5,TP6",TestPoint,6,47,,
U1,RT9078-33GJ5,1,48,RT9078-33GJ5,Richtek USA Inc
U2,TPS3809K33D,1,49,TPS3809K33DBVRG4,Texas Instrument
U3,MCP73831,1,50,MCP73831T-2ACI/OT,Microchip Technology
U4,LMV358,1,51,LMV358IDRG4,Texas Instrument
U5,LMV321,1,52,LMV321IDBVR,Texas Instrument
U6,MDBT50Q-1M,1,53,MDBT50Q-1MV2,Raytac
U7,RFM95W-868S2,1,54,RFM95W-868S2,RF Solutions
U9,DS3231MZ,1,55, DS3231MZ+TRL,Analog Device
U10,MX25R6435FM1,1,56,MX25R6435FM2IL0,Macronix
U11,SHT31-DIS,1,57,SHT31-DIS-P2.5KS,Sensirion AG
U14,FT230XS,1,58,FT230XS-R,FTDI
Y1,Crystal,1,59,CM315D32768HZFT,Citizen Finedevice
