Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7",0603,3,10nF,GRM1885C1H103JA01D
"C10, C17",0603,2,2.2u,GRM188R61E225KA12D
C11,0603,1,2.2n,GRM1885C1H222FA01D
C12,1206,1,47u,GRM31CR61A476KE15L
"C13, C24",0603,2,100n,GCM188R71H104JA57D
C14,0603,1,220n,GRM188R71A224JA01D
"C15, C16",0603,2,10n,GRM1885C1H103JA01D
"C19, C23, C32, C33, C34, C35, C4, C6",0603,8,100nF,GCM188R71H104JA57D
"C2, C5, C8",0603,3,4.7uF,GRM188C81E475KE11D
"C20, C21",0603,2,12pF,GRM1885C1H120JA01D
"C22, C27",0603,2,10uF,GRM188R61E106KA73D
"C25, C26",0603,2,47pF,GRM1885C1H470JA01D
C9,1206,1,100u,GRM31CR60J107KEA8L
"D1, D4, D5",D_SOD-123,3,B5819W,B5819W
D11,0603,1,TX-GREEN,LTST-C191KGKT
D12,0603,1,RX-GREEN,LTST-C191KGKT
D2,SOT-363_SC-70-6,1,NUP2202,NUP2202W1T2G
D3,0603,1,PWR-RED,LTST-C191KRKT
D6,0603,1,CH_ORANGE,LTST-C191KFKT
F1,0805,1,750mA,SMD0805B075TF
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_OTG,10103594-0001LF
J2,PinSocket_1x02_P2.00mm_Vertical,1,CONN_BATT,DNM
J3,PinSocket_1x02_P2.00mm_Vertical,1,CONN_SP,DNM
J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,S2B-PH-SM4-TB
J5,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,U.FL-R-SMT-1(01)
J6,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,20021121-00010C4LF
L1,0603,1,BLM18HE152,BLM18HE152SN1D
Q1,SOT-23-3,1,SI2323DS,SI2323DS-T1-GE3
"R1, R21",0603,2,100K,RC0603FR-07100KL
"R11, R13, R16",0603,3,220k,RC0603FR-07220KL
R12,0603,1,7.5k,RC0603FR-077K5L
"R14, R31, R34, R35, R36, R37",0603,6,10k,RC0603FR-0710KL
R15,0603,1,470k,RC0603FR-07470KL
R17,0603,1,2.2M,RC0603FR-072M2L
R18,0603,1,6.8k,RC0603FR-076K8L
"R19, R20",0603,2,68k,RC0603FR-076K8L
"R2, R4",0603,2,1M,RC0603FR-071ML
"R22, R23",0603,2,4.7k,RC0603FR-074K7L
"R28, R3, R7",0603,3,1k5,RC0603FR-071K5L
R29,0603,1,1K5,RC0603JR-071K5L
"R32, R33",0603,2,2.5k,RC0603FR-072K5L
"R40, R41",0603,2,27,RC0603FR-0727RL
R5,0603,1,3M6,RC0603FR-073M6L
R6,0603,1,5K1,RC0603FR-075K1L
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,RESET,434133025816
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_THTPad_D1.5mm_Drill0.7mm,6,TestPoint,
U1,TSOT-23-5,1,RT9078-33GJ5,RT9078-33GJ5
U10,SOP-8_5.28x5.23mm_P1.27mm,1,MX25R6435FM1,MX25R6435FM2IL0
U11,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT31-DIS,SHT31-DIS-P2.5KS
U14,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,FT230XS-R
U2,SOT-23-3,1,TPS3809K33D,TPS3809K33DBVRG4
U3,SOT-23-5,1,MCP73831,MCP73831T-2ACI/OT
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LMV358,LMV358IDRG4
U5,SOT-23-5,1,LMV321,LMV321IDBVR
U6,MDBT50Q-1M_RAY,1,MDBT50Q-1M,
U7,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,RFM95W-868S2
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ, DS3231MZ+TRL
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,CM315D32768HZFT
