Designator,Mid X,Mid Y,Rotation,Layer
C1,105.775,-85.5,180.0,top
C10,140.625,-88.0,180.0,top
C11,102.275,-89.5,0.0,top
C12,126.975,-92.0,180.0,top
C13,105.775,-89.5,0.0,top
C14,113.5,-94.5,0.0,top
C15,126.155,-89.5,0.0,top
C16,105.725,-94.5,0.0,top
C17,105.775,-92.0,0.0,top
C19,166.5,-98.5,180.0,top
C2,111.725,-79.5,180.0,top
C20,152.0,-84.725,270.0,top
C21,149.5,-84.725,270.0,top
C22,161.775,-73.0,180.0,top
C23,124.225,-69.5,180.0,top
C24,131.225,-89.5,0.0,top
C25,133.5,-76.225,90.0,top
C26,129.5,-79.5,90.0,top
C27,161.725,-71.0,180.0,top
C3,108.0,-76.725,270.0,top
C32,167.225,-76.0,180.0,top
C33,143.0,-69.27,90.0,top
C34,141.0,-69.27,90.0,top
C35,147.5,-77.0,270.0,top
C4,113.5,-76.725,270.0,top
C5,117.0,-72.105,270.0,top
C6,119.0,-72.105,270.0,top
C7,169.225,-62.0,180.0,top
C8,125.275,-76.22,90.0,top
C9,139.0,-92.0,270.0,top
D1,116.5,-82.5,0.0,top
D11,156.2875,-61.5,0.0,top
D12,156.2875,-63.5,0.0,top
D2,109.55,-88.85,180.0,top
D3,111.2875,-69.0,180.0,top
D4,122.075,-82.55,180.0,top
D5,121.925,-79.55,180.0,top
D6,111.2475,-66.0,180.0,top
F1,112.755,-86.37,270.0,top
J1,103.615,-80.0,270.0,top
J2,108.5,-62.0,90.0,top
J3,124.5,-62.0,90.0,top
J4,145.35,-94.85,180.0,top
J5,155.025,-96.975,90.0,top
J6,140.55,-77.5,0.0,top
L1,110.7125,-76.0,0.0,top
Q1,116.0,-86.0,90.0,top
R1,109.6,-86.2,180.0,top
R11,144.175,-86.0,180.0,top
R12,144.175,-88.0,180.0,top
R13,136.5,-91.175,270.0,top
R14,137.175,-88.0,0.0,top
R15,109.675,-94.5,0.0,top
R16,131.325,-93.5,0.0,top
R17,131.275,-91.5,0.0,top
R18,113.5,-92.0,0.0,top
R19,102.325,-92.0,0.0,top
R2,105.775,-87.5,0.0,top
R20,113.5,-89.5,0.0,top
R21,121.325,-85.0,0.0,top
R22,109.675,-92.0,0.0,top
R23,102.325,-94.5,0.0,top
R28,160.175,-61.5,180.0,top
R29,160.175,-63.54,0.0,top
R3,107.825,-69.0,180.0,top
R31,155.675,-89.5,0.0,top
R32,155.675,-91.5,0.0,top
R33,137.825,-66.0,0.0,top
R34,155.675,-87.5,0.0,top
R35,151.825,-87.48,0.0,top
R36,151.825,-89.5,0.0,top
R37,151.825,-91.5,0.0,top
R4,155.675,-85.5,0.0,top
R40,129.5,-76.175,90.0,top
R41,131.5,-76.175,270.0,top
R5,155.675,-83.5,0.0,top
R6,127.5,-76.175,270.0,top
R7,107.825,-66.0,0.0,top
SW1,139.0,-84.0,0.0,top
U1,113.6375,-72.5,180.0,top
U10,149.5,-67.89,90.0,top
U11,138.175,-69.25,0.0,top
U14,130.4,-70.2775,270.0,top
U2,108.3625,-72.675,270.0,top
U3,121.625,-76.0,180.0,top
U4,120.025,-91.5,270.0,top
U5,127.0,-83.5,270.0,top
U6,171.75,-69.15,270.0,top
U7,166.5,-88.025,270.0,top
U9,152.525,-76.595,270.0,top
Y1,150.75,-81.5,0.0,top
